Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-862.141	-1644.117	781.9763	0.6929511	0.551419	0.165025	0.18091	0.102646	1.951248	1.201216
6	-855.065	-1636.869	781.8041	0.8263086	0.279013	0.278557	0.00672236	0.435707	1.895418	1.274689
12	-856.2797	-1637.843	781.5633	0.8263086	0.346185	0.334938	0.0130685	0.305809	1.828629	1.514806
18	-856.1482	-1637.692	781.5437	0.8629333	0.254257	0.378407	0.00577484	0.361561	1.848846	1.485737
24	-847.3658	-1629.449	782.0832	0.4686136	0.193868	0.338175	0.0148408	0.453116	1.88096	1.361366
30	-865.6517	-1647.555	781.9033	0.644003	0.157443	0.591849	0.047475	0.203233	1.88096	1.361366
36	-850.4655	-1632.46	781.9945	0.5466277	0.281877	0.403476	0.196845	0.117802	1.986259	1.285349
42	-835.9166	-1617.704	781.7874	0.5412858	0.215452	0.308396	0.0358726	0.440279	1.8358	1.565483
48	-849.1758	-1630.354	781.1782	0.7355296	0.149041	0.573441	0.109495	0.168023	1.722362	1.929019
54	-844.8492	-1626.844	781.9945	0.5847268	0.367372	0.117801	0.269927	0.2449	1.941472	1.289638
60	-848.4144	-1630.495	782.0801	0.5911224	0.295242	0.0767888	0.275667	0.352302	1.988754	1.172037
66	-845.4212	-1627.494	782.0724	0.5875568	0.255902	0.193598	0.238935	0.311565	1.994939	1.176621
72	-849.6174	-1631.756	782.1382	0.5987264	0.0466931	0.624238	0.138766	0.190303	1.818336	1.260669
78	-853.148	-1635.44	782.2919	0.3383835	0.087588	0.295136	0.260301	0.356975	1.695849	1.427509
84	-842.9112	-1625.215	782.3034	0.3383835	0.0433247	0.594546	0.152708	0.209422	1.913488	1.244221
90	-840.8078	-1622.763	781.9549	0.4940926	0.156682	0.431448	0.110816	0.301054	2.004861	1.345155
96	-840.0632	-1622.344	782.2803	0.3662401	0.0609093	0.375618	0.318389	0.245083	1.986569	1.185339
102	-845.5988	-1627.73	782.1309	0.5156553	0.0519705	0.413232	0.350273	0.184525	1.91312	1.25929
108	-834.3504	-1616.573	782.2228	0.4570341	0.062852	0.408489	0.346252	0.182407	1.814101	1.312161
114	-847.3663	-1629.683	782.317	0.4291102	0.073282	0.397362	0.403711	0.125645	1.839992	1.234507
120	-853.2911	-1634.716	781.425	0.9853739	0.217275	0.526595	0.0896212	0.166508	1.848657	1.48125
126	-844.2393	-1626.652	782.4123	0.4495126	0.301002	0.0994904	0.317747	0.28176	1.848657	1.128045
132	-881.0522	-1662.625	781.5733	0.6586191	0.196254	0.283229	0.168962	0.351555	1.867828	1.608642
138	-883.3765	-1665.362	781.9856	0.6176265	0.263888	0.347929	0.0867273	0.301455	2.009575	1.211517
144	-858.5927	-1640.693	782.0999	0.6176265	0.265625	0.306618	0.162096	0.265662	2.11902	1.007432
150	-855.7582	-1637.593	781.8353	0.8392006	0.263299	0.129206	0.384916	0.222579	2.146613	1.010797
156	-847.361	-1629.08	781.7192	0.8392006	0.318599	0.299637	0.0718261	0.309938	2.08765	1.172571
162	-852.5481	-1634.888	782.3398	0.4822934	0.312005	0.31413	0.0703397	0.303524	1.961244	1.062301
168	-862.88	-1644.879	781.9994	0.555051	0.0669835	0.582203	0.0699695	0.280844	2.040097	1.229346
174	-854.3316	-1636.552	782.2203	0.555051	0.330993	0.4169	0.0714029	0.180704	1.80344	1.242579
180	-855.3634	-1636.926	781.5626	0.5989113	0.261864	0.163578	0.0713076	0.503251	1.747354	1.746969
186	-849.7928	-1630.928	781.1355	0.891689	0.248398	0.179896	0.0943337	0.477372	1.545051	1.967273
192	-844.5021	-1625.408	780.906	0.5890731	0.384126	0.325624	0.0970641	0.193187	1.621837	2.275338
198	-825.8926	-1607.776	781.8838	0.6114342	0.0881594	0.529285	0.0685412	0.314015	1.823843	1.447562
204	-839.9274	-1621.474	781.547	0.6973789	0.218727	0.232004	0.239674	0.309595	1.627416	1.769
210	-827.1655	-1608.861	781.6957	0.4475212	0.219546	0.436762	0.100461	0.243231	1.717291	1.781408
216	-836.6773	-1618.059	781.3817	0.6804113	0.26315	0.432008	0.0483846	0.256457	1.711024	1.83796
222	-828.2958	-1609.691	781.3951	0.8877498	0.255429	0.426004	0.0696341	0.248933	1.84089	1.582902
228	-837.7045	-1619.748	782.0439	0.4809909	0.364107	0.227452	0.125684	0.282758	1.787514	1.455025
234	-847.5015	-1628.981	781.4799	0.7651609	0.400594	0.391436	0.0559398	0.15203	1.743474	1.684059
240	-852.0468	-1633.411	781.3643	0.8751327	0.34521	0.427604	0.0611086	0.166078	1.727874	1.695771
246	-851.002	-1632.705	781.7025	0.7637791	0.356606	0.229875	0.0631259	0.350394	1.772651	1.501538
252	-846.3584	-1628.121	781.763	0.8125511	0.387123	0.228596	0.035836	0.348445	1.972861	1.256562
258	-848.7439	-1630.345	781.6015	0.9811333	0.277515	0.28956	0.0537376	0.379187	2.005113	1.219826
264	-843.2493	-1624.912	781.6624	0.9063847	0.32978	0.274638	0.0359363	0.359646	1.943614	1.283478
270	-857.7243	-1639.385	781.6604	0.8286781	0.433069	0.265872	0.00721487	0.293844	2.01451	1.292844
276	-847.887	-1629.53	781.6425	0.7963694	0.302594	0.3828	0.00373488	0.310871	1.779598	1.515595
282	-853.2415	-1635.13	781.8887	0.49779	0.198187	0.355882	0.00529394	0.440638	1.845777	1.515595
288	-844.5318	-1625.757	781.2247	0.5870674	0.202711	0.533011	0.00151402	0.262763	1.688607	2.025477
294	-877.6925	-1658.784	781.0912	0.6681831	0.193125	0.549804	0.00143558	0.255635	1.786514	1.99219
300	-861.2727	-1642.756	781.4831	0.9909528	0.461095	0.285219	0.00103515	0.252651	1.979625	1.330069
306	-865.7386	-1647.212	781.4729	1.109566	0.182598	0.641127	0.00164837	0.174627	2.014198	1.213618
312	-888.7631	-1670.791	782.0275	0.568194	0.117421	0.756847	0.00194589	0.123787	2.06209	1.174823
318	-871.115	-1653.341	782.2259	0.5665178	0.358022	0.258613	0.00593313	0.377432	1.996071	1.056363
324	-891.2383	-1672.598	781.36	0.7442686	0.261692	0.416388	0.00328332	0.318637	1.871637	1.693834
